Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_05_888.jpg,0,0.3014497,0,2.06749,101.0228,78.97205,0.09255379,282.5405,0.05148739
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_05_958.jpg,0,0.5035275,0,2.077945,101.0589,78.80908,0.1179244,282.5384,0.03696921
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_06_021.jpg,0,0.3061098,0,2.094287,101.0863,78.68552,0.1584143,282.5357,0.02238543
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_06_088.jpg,0,0.1080344,0,2.102937,101.1137,78.56171,0.196425,282.5329,0.006314741
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_06_157.jpg,0,0,0,2.098984,101.1503,78.39758,0.2143919,282.5345,-0.002373144
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_06_224.jpg,1.522401,0,0,2.09255,101.1781,78.27551,0.2016395,282.6125,0.002298256
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_06_272.jpg,2.974047,0,0,2.08784,101.1973,78.19478,0.1803823,282.7975,0.02165359
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_06_339.jpg,6.717357,0,0,2.077388,101.2392,78.03543,0.1031587,283.6126,0.1291251
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_06_407.jpg,9.713982,0,0,2.06564,101.2737,77.91801,0.01500896,284.5626,0.268795
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_06_474.jpg,6.733463,0,0,2.057468,101.3219,77.76266,359.9114,285.8128,0.4499239
